"혈액원별(1)","혈액원별(2)",성별(1),2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"혈액원별(1)","혈액원별(2)",성별(1),합계,16~19세,16~19세,20~29세,20~29세,30~39세,30~39세,40~49세,40~49세,50~59세,50~59세,60세이상,60세이상,합계,16~19세,16~19세,20~29세,20~29세,30~39세,30~39세,40~49세,40~49세,50~59세,50~59세,60세이상,60세이상,합계,16~19세,16~19세,20~29세,20~29세,30~39세,30~39세,40~49세,40~49세,50~59세,50~59세,60세이상,60세이상,합계,16~19세,16~19세,20~29세,20~29세,30~39세,30~39세,40~49세,40~49세,50~59세,50~59세,60세이상,60세이상,합계,16~19세,16~19세,20~29세,20~29세,30~39세,30~39세,40~49세,40~49세,50~59세,50~59세,60세이상,60세이상
"혈액원별(1)","혈액원별(2)",성별(1),실적 (건),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%),실적 (건),구성비 (%)
"대한적십자사","울산",계,86261,33000,38.3,26314,30.5,12774,14.8,9572,11.1,4095,4.7,506,0.6,86711,32222,37.2,26173,30.2,12226,14.1,10709,12.4,4718,5.4,663,0.8,91599,32706,35.7,26308,28.7,12872,14.1,12371,13.5,6434,7.0,908,1.0,82518,17795,21.6,23105,28.0,14249,17.3,16319,19.8,9716,11.8,1334,1.6,83549,21290,25.5,22052,26.4,12977,15.5,15682,18.8,9818,11.8,1730,2.1
"대한적십자사","울산",남,65900,22964,34.8,20838,31.6,10494,15.9,7728,11.7,3428,5.2,448,0.7,66006,22098,33.5,20789,31.5,9892,15.0,8701,13.2,3966,6.0,560,0.8,68561,21851,31.9,20356,29.7,10298,15.0,9908,14.5,5377,7.8,771,1.1,63660,11958,18.8,17614,27.7,11520,18.1,13200,20.7,8240,12.9,1128,1.8,63842,14672,23.0,16904,26.5,10309,16.1,12423,19.5,8040,12.6,1494,2.3
"대한적십자사","울산",여,20361,10036,49.3,5476,26.9,2280,11.2,1844,9.1,667,3.3,58,0.3,20705,10124,48.9,5384,26.0,2334,11.3,2008,9.7,752,3.6,103,0.5,23038,10855,47.1,5952,25.8,2574,11.2,2463,10.7,1057,4.6,137,0.6,18858,5837,31.0,5491,29.1,2729,14.5,3119,16.5,1476,7.8,206,1.1,19707,6618,33.6,5148,26.1,2668,13.5,3259,16.5,1778,9.0,236,1.2
"대한적십자사","경기",계,210813,59258,28.1,75600,35.9,34752,16.5,28941,13.7,10654,5.1,1608,0.8,203912,48114,23.6,73879,36.2,36619,18.0,31245,15.3,12254,6.0,1801,0.9,211170,51412,24.3,68770,32.6,38326,18.1,35305,16.7,15004,7.1,2353,1.1,225902,35054,15.5,74682,33.1,43423,19.2,46576,20.6,22565,10.0,3602,1.6,225736,35981,15.9,72958,32.3,42436,18.8,46356,20.5,24080,10.7,3925,1.7
"대한적십자사","경기",남,159730,38229,23.9,59583,37.3,27866,17.4,23876,14.9,8842,5.5,1334,0.8,156393,31027,19.8,58539,37.4,29386,18.8,25695,16.4,10239,6.5,1507,1.0,158935,32679,20.6,52877,33.3,30458,19.2,28709,18.1,12283,7.7,1929,1.2,171193,22913,13.4,56816,33.2,33627,19.6,36859,21.5,18116,10.6,2862,1.7,168602,23657,14.0,54011,32.0,32414,19.2,36133,21.4,19213,11.4,3174,1.9
"대한적십자사","경기",여,51083,21029,41.2,16017,31.4,6886,13.5,5065,9.9,1812,3.5,274,0.5,47519,17087,36.0,15340,32.3,7233,15.2,5550,11.7,2015,4.2,294,0.6,52235,18733,35.9,15893,30.4,7868,15.1,6596,12.6,2721,5.2,424,0.8,54709,12141,22.2,17866,32.7,9796,17.9,9717,17.8,4449,8.1,740,1.4,57134,12324,21.6,18947,33.2,10022,17.5,10223,17.9,4867,8.5,751,1.3
"대한적십자사","강원",계,154964,38546,24.9,83449,53.9,15681,10.1,11988,7.7,4494,2.9,806,0.5,161359,38665,24.0,86781,53.8,16005,9.9,13771,8.5,5168,3.2,969,0.6,153606,35141,22.9,78797,51.3,17227,11.2,15041,9.8,6263,4.1,1137,0.7,140670,21520,15.3,70780,50.3,18022,12.8,19111,13.6,9422,6.7,1815,1.3,134293,20514,15.3,67234,50.1,16584,12.3,18409,13.7,9593,7.1,1959,1.5
"대한적십자사","강원",남,127367,25971,20.4,74351,58.4,12942,10.2,9678,7.6,3686,2.9,739,0.6,134733,27159,20.2,78217,58.1,13058,9.7,11189,8.3,4238,3.1,872,0.6,127408,24108,18.9,70871,55.6,14073,11.0,12239,9.6,5132,4.0,985,0.8,117333,15379,13.1,63135,53.8,14670,12.5,15198,13.0,7434,6.3,1517,1.3,110113,13922,12.6,59089,53.7,13362,12.1,14442,13.1,7664,7.0,1634,1.5
"대한적십자사","강원",여,27597,12575,45.6,9098,33.0,2739,9.9,2310,8.4,808,2.9,67,0.2,26626,11506,43.2,8564,32.2,2947,11.1,2582,9.7,930,3.5,97,0.4,26198,11033,42.1,7926,30.3,3154,12.0,2802,10.7,1131,4.3,152,0.6,23337,6141,26.3,7645,32.8,3352,14.4,3913,16.8,1988,8.5,298,1.3,24180,6592,27.3,8145,33.7,3222,13.3,3967,16.4,1929,8.0,325,1.3
"대한적십자사","충북",계,95644,33392,34.9,39120,40.9,11376,11.9,8011,8.4,3211,3.4,534,0.6,93808,30199,32.2,38207,40.7,12099,12.9,8959,9.6,3717,4.0,627,0.7,94251,30524,32.4,34909,37.0,13019,13.8,10434,11.1,4629,4.9,736,0.8,85748,18629,21.7,31077,36.2,13358,15.6,14215,16.6,7292,8.5,1177,1.4,84573,21877,25.9,28761,34.0,11698,13.8,13475,15.9,7343,8.7,1419,1.7
